State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Nitrogen,Phosphorous,Potash,Alluvial,Black,loam,Red,crop
Bihar,ARARIA,1997,Whole Year,119,58,24.4189954578,8.4470295339,9.3352689884,25.654311578,23.0155129085,41.9366297065,0,0,0,0,1,0,coriander
Bihar,AURANGABAD,1997,Whole Year,20,10,26.4119532021,9.4882972482,9.8226299441,22.9364247766,18.8420901467,37.8068655432,0,0,0,0,1,0,coriander
Bihar,BEGUSARAI,1997,Whole Year,302,202,20.5341544106,8.4852079928,9.5242221893,23.279521266,19.1891203891,42.5215356786,0,0,0,0,1,0,coriander
Bihar,BHAGALPUR,1997,Whole Year,55,27,24.6737274381,8.6296164277,9.686539254,25.6855786888,17.0415573261,39.9703207238,0,0,0,0,1,0,coriander
Bihar,BHOJPUR,1997,Whole Year,33,17,20.586540575,8.2608266672,7.929377618,25.0650632888,21.4066150055,40.5458760061,0,0,0,0,1,0,coriander
Bihar,BUXAR,1997,Whole Year,27,14,27.2095447852,8.1139485792,9.3772626717,24.8071034582,18.6221487385,37.1467078211,0,0,0,0,1,0,coriander
Bihar,DARBHANGA,1997,Whole Year,64,23,22.550998164,9.5130590828,8.4451974706,22.3418007899,19.2837523534,40.0223888476,0,0,0,0,1,0,coriander
Bihar,GAYA,1997,Whole Year,22,11,17.5082499432,9.2656433993,9.9830917166,24.3002559347,18.6149289351,41.6846867394,0,0,0,0,1,0,coriander
Bihar,GOPALGANJ,1997,Whole Year,59,29,21.8529716154,8.2660739104,9.8317693692,22.7194768937,18.1115578795,38.6458354755,0,0,0,0,1,0,coriander
Bihar,JEHANABAD,1997,Whole Year,25,12,20.0491769555,9.8556500699,9.5833417038,26.1530531564,18.0826576185,37.4698834087,0,0,0,0,1,0,coriander
Bihar,KAIMUR (BHABUA),1997,Whole Year,122,63,26.5853311275,8.1428202289,9.2729071329,23.5862669025,22.7575422238,37.2462257735,0,0,0,0,1,0,coriander
Bihar,KATIHAR,1997,Whole Year,37,18,16.0295420857,9.17712863,9.9536116208,23.9751407061,15.4043225713,40.1155113039,0,0,0,0,1,0,coriander
Bihar,KHAGARIA,1997,Whole Year,123,91,20.0621145132,9.8046850389,8.5646763036,26.294096462,21.699055095,40.5822027477,0,0,0,0,1,0,coriander
Bihar,KISHANGANJ,1997,Whole Year,21,10,21.874790454,8.032460499,8.4608322094,22.3769738989,20.9178445478,37.4411656789,0,0,0,0,1,0,coriander
Bihar,MADHEPURA,1997,Whole Year,21,10,24.735490564,9.1557302779,9.1733066597,27.0833986899,18.4379341259,37.8297620725,0,0,0,0,1,0,coriander
Bihar,MADHUBANI,1997,Whole Year,17,6,23.3323463037,8.8200742771,7.9045880962,25.0890413289,21.7228926068,39.8301435218,0,0,0,0,1,0,coriander
Bihar,MUNGER,1997,Whole Year,10,7,17.2686151357,8.011154951,8.0926083717,24.7666137735,23.0933341374,40.9119118329,0,0,0,0,1,0,coriander
Bihar,MUZAFFARPUR,1997,Whole Year,112,47,21.3554612439,8.6180684981,8.3262232098,26.6544204175,21.1423772288,37.9933506896,0,0,0,0,1,0,coriander
Bihar,NALANDA,1997,Whole Year,347,180,22.2823546033,8.3904768767,8.1128409686,24.6573973013,16.3346427492,41.3020723768,0,0,0,0,1,0,coriander
Bihar,NAWADA,1997,Whole Year,3,1,27.8311743849,9.4664009247,8.4566898777,27.1649887582,22.20281325,42.0686093607,0,0,0,0,1,0,coriander
